Y_e,L_e,rev_e,K_e,I_e,Z_e,P_e,Lam_e,V_e,D_e,q_e,a_e
0.0191623692176165,0.00915361313915669,0.0147368797909162,0.00243230571840392,0.0025011023350521,5.61557714089944e-05,0.000555850576118733,-1.40494782203682e-05,0.0206716305809906,0.00583289340869406,0.00500220467010415,0.02
0.0130018730459862,0.00621082469478634,0.00999913100303396,0.00357294254677032,0.00152278954398144,4.28768260667834e-05,0.000424410668278141,-1.0727250625675e-05,0.0154570178878055,0.00412714142411266,0.00235480426393608,0.0125
0.0089915534496714,0.00429514747699761,0.00691498221418196,0.00396551465693373,0.000917648261047788,3.33635216865705e-05,0.000330244466161145,-8.34713974240398e-06,0.0118019546496773,0.00298589679796477,0.000820580838812868,0.0078125
0.00635006322913845,0.00303334214828094,0.00488353592448776,0.00394053224609259,0.000544755416800463,2.63931783937247e-05,0.000261249432563337,-6.60324621504227e-06,0.00918339359553144,0.0022091961533198,-3.6695328968217e-05,0.0048828125
0.00458516404219167,0.0021902728908495,0.00352623470219382,0.00369676402857588,0.0003161876047727,2.11720604089867e-05,0.000209568877439947,-5.29698718643168e-06,0.00726478900230187,0.00167023243363157,-0.000486735948344919,0.0030517578125
0.00338591859540494,0.00161740902656859,0.00260395125235546,0.0033518574840723,0.000177122252770001,1.71791348987024e-05,0.000170045425270993,-4.29800669721203e-06,0.00582766309236371,0.00128820684034892,-0.000695636478575512,0.0019073486328125
0.00255521588511265,0.00122059320712004,0.00196509674305445,0.0029737865734718,9.34045930483796e-05,1.40677014287636e-05,0.000139247307046952,-3.51956459465619e-06,0.00472860026251443,0.001011316733464,-0.000765118339379756,0.00119209289550781
0.00196751939991502,0.00093985828297527,0.00151312692880312,0.00260034626144212,4.37801734747278e-05,1.16033028728368e-05,0.000114853779494384,-2.90300261052145e-06,0.00387217034275977,0.000806085462426359,-0.000756995039916553,0.000745058059692384
0.00154239216930596,0.00073678056540688,0.00118618150664873,0.00225120130753531,1.50428395046809e-05,9.62440702820429e-06,9.52659371815656e-05,-2.40790738925689e-06,0.00319383841701315,0.000650661771987887,-0.000708412659240265,0.00046566128730774
0.0012278928864693,0.000586548371520224,0.00094431485264268,0.00193530258603802,-9.95530055142302e-07,8.01739992950523e-06,7.93591870964505e-05,-2.00585412446497e-06,0.0026491423385675,0.000530605145076746,-0.000641332231450353,0.000291038304567338
0.000990150352200736,0.000472981872477074,0.00076147821543382,0.00165542592789669,-9.39704181099343e-06,6.70059149462249e-06,6.63249306201985e-05,-1.67640496973043e-06,0.00220680957655217,0.000436229036157115,-0.000568420018056792,0.000181898940354586
0.00080680688052126,0.000385401094114779,0.000620477346913617,0.00141092757532668,-1.32786990504896e-05,5.61391086272012e-06,5.55685641747683e-05,-1.4045309398858e-06,0.00184435472957789,0.000360921313733664,-0.000496698361623693,0.000113686837721616
0.000662886144267572,0.000316652040831922,0.000509794655984108,0.00119939770934407,-1.45491205730264e-05,4.71220588209309e-06,4.66431550779633e-05,-1.17893552609161e-06,0.00154524314150395,0.000300078435691853,-0.00042980167253881,7.10542735760102e-05
0.000548181645418255,0.000261859202020431,0.000421580803520283,0.00101763598263904,-1.43678500214295e-05,3.96083577928856e-06,3.92058161536868e-05,-9.90952036095116e-07,0.00129704656855401,0.000250425720209779,-0.000369364649496551,4.44089209850064e-05
0.000455600090815911,0.000217634204316419,0.000350380670304129,0.000862212344318491,-1.34314621606235e-05,3.33273132052149e-06,3.29886061233298e-05,-8.3380808291178e-07,0.00109023005035835,0.000209581046875934,-0.000315871543390744,2.7755575615629e-05
0.00038010539415656,0.000181571375162559,0.000292321238462234,0.000729776300166574,-1.21515673740802e-05,2.80640106456106e-06,2.77787947599029e-05,-7.02126774276834e-07,0.000917342711960423,0.000175772491265186,-0.000269171440534621,1.73472347597681e-05
0.000318041285189086,0.000151924162082484,0.000244590641958364,0.000617215382859415,-1.07653792450202e-05,2.36455332044277e-06,2.34052225168702e-05,-5.91581943321096e-07,0.000772468979890917,0.000147653678247178,-0.000228787227737337,1.08420217248551e-05
0.000266693262399142,0.000127395883207204,0.000205101284939779,0.000521724811560098,-9.40424099402093e-06,1.99312351116185e-06,1.97286730135859e-05,-4.98654807112864e-07,0.00065084927254544,0.000124181484142005,-0.000194097650720093,6.77626357803442e-06
0.000224002425838976,0.000107003028961494,0.000172269763982436,0.000440826230211799,-8.13596644338999e-06,1.6805722934856e-06,1.66349255669163e-05,-4.20458365013587e-07,0.000548612279586802,0.000104533782641858,-0.000164441779369806,4.23516473627152e-06
0.000188376168099968,8.99848316167073e-05,0.000144871279393333,0.000372358489820757,-6.99089122177532e-06,1.41736756604713e-06,1.40296279151908e-05,-3.54607803454421e-07,0.000462581767650683,8.80531259561668e-05,-0.000139176431823707,2.6469779601697e-06
0.000158561033022475,7.57425315601745e-05,0.000121941856804808,0.000314454224167315,-5.97780714373108e-06,1.19559378475645e-06,1.18344290780392e-05,-2.99122751235004e-07,0.00039013400176513,7.42074016720773e-05,-0.000117705425396575,1.65436122510606e-06
0.000133555806070884,6.37978617037405e-05,0.00010271150905683,0.000265510302700278,-5.09362781961342e-06,1.00865129103178e-06,9.98400319607295e-06,-2.5235205558527e-07,0.000329090208429861,6.25617460729977e-05,-9.94922553027022e-05,1.03397576569129e-06
0.000112550911474552,5.37640982906651e-05,8.65576293788139e-05,0.000224156782857365,-4.32918206499933e-06,8.5102071374632e-07,8.42371749432136e-06,-2.12914838204625e-07,0.000277633814955269,5.27580384748205e-05,-8.4063290096914e-05,6.46234853557056e-07
9.48852317509408e-05,4.5325434146648e-05,7.29717833095611e-05,0.000189226887710392,-3.67262582162686e-06,7.18075482297742e-07,7.10777646739658e-06,-1.79653588561202e-07,0.000234245600500227,4.44995942689153e-05,-7.10057779746975e-05,4.0389678347316e-07
8.00146438433291e-05,3.82219488045399e-05,6.15355113160465e-05,0.000159729281280496,-3.11139825548423e-06,6.05930688178311e-07,5.99772585541114e-06,-1.51596350472794e-07,0.000197652089824363,3.75394958574971e-05,-5.99632326206967e-05,2.52435489670725e-07
6.74885766199784e-05,3.2238410327845e-05,5.1902300264306e-05,0.000134823178187915,-2.633295485166e-06,5.11319963552095e-07,5.06123394250491e-06,-1.27925919524152e-07,0.000166783952048721,3.16715253164956e-05,-5.06297068539885e-05,1.57772181044203e-07
5.69321712042825e-05,2.71957535343259e-05,4.37838637667998e-05,0.000113796404857425,-2.22701605379072e-06,4.31494342796254e-07,4.27109045098018e-06,-1.07954538197674e-07,0.000140742111179204,2.67229999922902e-05,-4.274381471292e-05,9.8607613152627e-08
4.80324405703891e-05,2.2944468615449e-05,3.69394981754034e-05,9.60463013854884e-05,-1.8823958416736e-06,3.6413863776022e-07,3.60437879332043e-06,-9.11029753858372e-08,0.000118769907486715,2.25490310843401e-05,-3.60829706628207e-05,6.16297582203919e-08
4.05273485416524e-05,1.93593843169082e-05,3.1167683751443e-05,8.10632393561939e-05,-1.59046542161367e-06,3.07301944543759e-07,3.04178820142997e-06,-7.6883138966366e-08,0.000100230079585373,1.90278687852152e-05,-3.04580804367793e-05,3.85185988877449e-08
3.41970677584236e-05,1.63354919842651e-05,2.62993615786078e-05,6.84164839874768e-05,-1.34341040133878e-06,2.59339670787007e-07,2.56703989276463e-06,-6.48835722927288e-08,8.45856362503561e-05,1.60570929392811e-05,-2.57087807798984e-05,2.40741243048406e-08
2.88568985525872e-05,1.3784563001884e-05,2.21924878014423e-05,5.77421201584105e-05,-1.13448291552687e-06,2.18865032165436e-07,2.16640696348858e-06,-5.47573192344331e-08,7.13838992822957e-05,1.35504726011537e-05,-2.16992472834576e-05,1.50463276905254e-08
2.43514782721777e-05,1.16323826630516e-05,1.87275802877584e-05,4.87327736151677e-05,-9.57892529657167e-07,1.84708381867349e-07,1.82831181727572e-06,-4.62117485389157e-08,6.02431527929603e-05,1.14353621906704e-05,-1.83145471843726e-05,9.40395480657835e-09
2.05500101364553e-05,9.8164710563009e-06,1.58040493659639e-05,4.11288805690635e-05,-8.08692668580191e-07,1.55883051727174e-07,1.5429880479978e-06,-3.90000081118558e-08,5.08414485440589e-05,9.65053305723718e-06,-1.545749304388e-05,5.87747175411147e-09
1.73423090606972e-05,8.28419420784154e-06,1.33371568526996e-05,3.47112849097275e-05,-6.82671329965689e-07,1.31556626948096e-07,1.30219610638971e-06,-3.29138379884242e-08,4.29072036318701e-05,8.14436160215259e-06,-1.30459447414966e-05,3.67341984631967e-09
